sourceId,source_village,source_province,source_departament,source_latitude,source_longitude,source_altitude,destination_id,destination_village,destination_province,destination_departament,destination_latitud,destination_longitud,destination_altitud,distance
15,Laran,Chachapoyas,Amazonas,-6.042728333,-77.76132667,411,56,Cuanche,La Jalca,Amazonas,-6.482503333,-77.83484,411,43.2
16,Vence,Chachapoyas,Amazonas,-6.053575,-77.77169667,411,57,Tolape,La Jalca,Amazonas,-6.509988333,-77.82425333,411,25.8
17,Granada,Chachapoyas,Amazonas,-6.106505493,-77.62870829,411,58,Yumpe (Nuevo Yumpe),La Jalca,Amazonas,-6.503631667,-77.82717167,411,20.1
18,Sugmal,Chachapoyas,Amazonas,-6.088003333,-77.64107167,411,59,Cashlon,La Jalca,Amazonas,-6.493861667,-77.81357333,411,90.1
19,Diosan,Chachapoyas,Amazonas,-6.102885,-77.62817167,411,60,Calatij,La Jalca,Amazonas,-6.504401667,-77.82243,411,97.6
20,Calviche,Chachapoyas,Amazonas,-6.123179974,-77.62405999,411,61,Potquin,La Jalca,Amazonas,-6.50924,-77.82064333,411,56.8
21,Guillipcha,Chachapoyas,Amazonas,-6.124289975,-77.61592999,411,62,Cuito,La Jalca,Amazonas,-6.50786,-77.81351667,411,60.7
22,Saviajcha,Chachapoyas,Amazonas,-6.129819974,-77.60570999,78,63,Lopetranca,La Jalca,Amazonas,-6.511876667,-77.81574167,78,7.8
23,Camellan,Chachapoyas,Amazonas,-6.128109974,-77.62500999,78,64,Lamilan,La Jalca,Amazonas,-6.524993333,-77.814045,78,32.8
24,Chillan,Chachapoyas,Amazonas,-6.145889974,-77.55682999,78,65,Cueyqueta,La Jalca,Amazonas,-6.511273333,-77.80773333,78,10.8
25,Airecampo,Chachapoyas,Amazonas,-6.097655,-77.63272833,1054,66,Tiolomo,La Jalca,Amazonas,-6.5325,-77.8115,1054,39.9
26,Gorge,Chachapoyas,Amazonas,-6.095053333,-77.63719833,643,67,Chacango,La Jalca,Amazonas,-6.528345,-77.82256,643,31.6
27,Shundura,Chachapoyas,Amazonas,-6.107083333,-77.61906167,643,68,Ponga,La Jalca,Amazonas,-6.519731667,-77.826335,643,2.3
28,San Juan De Eñara,Chachapoyas,Amazonas,-6.135471194,-77.58459227,643,69,Caulingas,La Jalca,Amazonas,-6.514218333,-77.82511333,643,47.9
29,Huancas,Chachapoyas,Amazonas,-6.173689647,-77.86444035,643,70,Usquita,La Jalca,Amazonas,-6.525763333,-77.82183333,643,41.6
30,Yunga,Chachapoyas,Amazonas,-6.147213333,-77.90377833,177,71,Lojshol,La Jalca,Amazonas,-6.53239,-77.821565,177,61.8
31,La Hoya,Chachapoyas,Amazonas,-6.191741667,-77.87746333,177,72,Cuchcat,La Jalca,Amazonas,-6.531591667,-77.826835,177,15
32,La Pitaya,Chachapoyas,Amazonas,-6.16028,-77.904165,210,73,Quelucas,La Jalca,Amazonas,-6.533138333,-77.83191167,210,97.2
33,Maray Pampa,Chachapoyas,Amazonas,-6.1817,-77.870965,365,74,Justamante,La Jalca,Amazonas,-6.539723333,-77.81572833,365,59.2
34,Cajshej,Chachapoyas,Amazonas,-6.452038333,-77.86081833,365,75,Pengote,La Jalca,Amazonas,-6.55843,-77.814255,365,41
35,Quishual,Chachapoyas,Amazonas,-6.467753333,-77.84808833,764,76,Quillunya,La Jalca,Amazonas,-6.550201667,-77.82745,764,41.8
36,Samana,Chachapoyas,Amazonas,-6.471595,-77.83760167,764,77,Loquin,La Jalca,Amazonas,-6.547943333,-77.81977167,764,22
37,Achupa,Chachapoyas,Amazonas,-6.465256667,-77.83607167,764,78,Quiusha,La Jalca,Amazonas,-6.460615,-77.82393333,764,78.5
38,Buenavista,Chachapoyas,Amazonas,-6.46598,-77.831735,764,79,Nuevo Progreso,La Jalca,Amazonas,-6.457778333,-77.83907833,764,49.8
39,Huacas,Chachapoyas,Amazonas,-6.48379,-77.8372,764,80,Ramos Pampa,La Jalca,Amazonas,-6.490521667,-77.81014,764,86.4
40,Nuevo Huacas,Chachapoyas,Amazonas,-6.464271667,-77.83197167,991,81,Tayancpata,La Jalca,Amazonas,-6.49094,-77.80478333,991,84
41,Yumal,Chachapoyas,Amazonas,-6.471896667,-77.81876167,991,82,Tajsh Cuchia,La Jalca,Amazonas,-6.498925,-77.81066,991,17.8
42,Shingache,Chachapoyas,Amazonas,-6.468318333,-77.80540833,991,83,Tres Cruces,La Jalca,Amazonas,-6.505918333,-77.82178,991,47.1
43,Buiquil,Chachapoyas,Amazonas,-6.456865,-77.84216,1610,84,Cuyto Fila,La Jalca,Amazonas,-6.51115,-77.83945833,1610,56.6
44,Quimbaleran,Chachapoyas,Amazonas,-6.444011667,-77.84733,1610,85,Pajpata,La Jalca,Amazonas,-6.50588,-77.83376333,1610,98.9
